Amélie,Greenwich Village,4.5 star rating,"
            2105 reviews
    ","
French,
                    Wine Bars,
                    Belgian
",$$
Upstate,East Village,4.5 star rating,"
            1561 reviews
    ","
Seafood,
                    Wine Bars,
                    Beer Bar
",$$
Burger & Lobster,Flatiron,4.0 star rating,"
            4422 reviews
    ","
Seafood,
                    Burgers,
                    American (New)
",$$
Joe’s Shanghai,Chinatown,4.0 star rating,"
            5260 reviews
    ","
Shanghainese,
                    Seafood,
                    Venues & Event Spaces
",$$
Jane,Greenwich Village,4.0 star rating,"
            2903 reviews
    ","
Breakfast & Brunch,
                    American (New),
                    Bars
",$$
Jack’s Wife Freda,SoHo,4.0 star rating,"
            1574 reviews
    ","
Breakfast & Brunch,
                    Mediterranean,
                    American (New)
",$$
Thai Villa,Flatiron,4.5 star rating,"
            1765 reviews
    ","
Thai,
                    Asian Fusion,
                    Vegetarian
",$$
Root & Bone,Alphabet City,4.0 star rating,"
            1354 reviews
    ","
Southern,
                    Comfort Food,
                    Desserts
",$$
Junzi Kitchen,Greenwich Village,5.0 star rating,"
            15 reviews
    ","
Chinese,
                    Noodles
",$$
Dutch Freds,Theater District,4.5 star rating,"
            861 reviews
    ","
Cocktail Bars,
                    American (New),
                    Breakfast & Brunch
",$$
Bea,Midtown West,4.0 star rating,"
            1875 reviews
    ","
American (New),
                    Cocktail Bars
",$$
Suspenders Restaurant & Bar,Financial District,4.0 star rating,"
            184 reviews
    ","
Gastropubs,
                    Comfort Food
",$$
Tava Turkish and Mediterranean,Park Slope,5.0 star rating,"
            37 reviews
    ","
Turkish,
                    Mediterranean
",$$
The Boil,Lower East Side,4.5 star rating,"
            1652 reviews
    ","
Cajun/Creole,
                    Seafood,
                    Live/Raw Food
",$$
Atrium Dumbo,DUMBO,4.0 star rating,"
            533 reviews
    ","
American (Traditional)
",$$
Jacob’s Pickles,Upper West Side,4.0 star rating,"
            3164 reviews
    ","
Comfort Food,
                    Southern,
                    American (Traditional)
",$$
Carmine’s Italian Restaurant,Theater District,4.0 star rating,"
            3032 reviews
    ","
Italian,
                    Venues & Event Spaces
",$$
Bernie’s,Williamsburg - North Side,4.5 star rating,"
            6 reviews
    ","
American (New)
",
Luke’s Lobster FiDi,Financial District,4.5 star rating,"
            957 reviews
    ","
Seafood
",$$
Uglyduckling,Cobble Hill,4.0 star rating,"
            355 reviews
    ","
American (Traditional),
                    Gastropubs
",$$
Tanner Smiths,Midtown West,4.0 star rating,"
            1174 reviews
    ","
Cocktail Bars,
                    American (New),
                    Breakfast & Brunch
",$$
Gramercy Tavern,Flatiron,4.5 star rating,"
            2519 reviews
    ","
American (New)
",$$$$
The Smith,Midtown East,4.0 star rating,"
            2067 reviews
    ","
American (New),
                    Breakfast & Brunch,
                    Cocktail Bars
",$$
Buttermilk Channel,Carroll Gardens,4.0 star rating,"
            1716 reviews
    ","
American (New),
                    Breakfast & Brunch
",$$
Omakasa,Nolita,4.0 star rating,"
            25 reviews
    ","
Asian Fusion,
                    Japanese
",$$
The River Café,DUMBO,4.0 star rating,"
            923 reviews
    ","
American (New),
                    Wine Bars,
                    Venues & Event Spaces
",$$$$
Sweet Chick,Lower East Side,4.0 star rating,"
            1250 reviews
    ","
Southern,
                    Breakfast & Brunch,
                    American (Traditional)
",$$
The Alcove,Woodside,5.0 star rating,"
            427 reviews
    ","
Gastropubs,
                    Tapas Bars,
                    Breakfast & Brunch
",$$
Pig and Khao,Lower East Side,4.0 star rating,"
            1286 reviews
    ","
Filipino,
                    Thai,
                    Asian Fusion
",$$
886,East Village,4.5 star rating,"
            44 reviews
    ","
Taiwanese
",$$
Soco,Clinton Hill,4.0 star rating,"
            1811 reviews
    ","
Cajun/Creole,
                    Barbeque,
                    Soul Food
",$$
Momofuku Ssam Bar,East Village,4.0 star rating,"
            2252 reviews
    ","
American (New)
",$$$
Buddakan,Meatpacking District,4.0 star rating,"
            3486 reviews
    ","
Chinese,
                    Bars,
                    Asian Fusion
",$$$
ABC Kitchen,Flatiron,4.0 star rating,"
            2705 reviews
    ","
American (New),
                    French
",$$$
La Sirene,South Village,4.5 star rating,"
            1483 reviews
    ","
French
",$$$
Tasty Hand-Pulled Noodles,Chinatown,4.0 star rating,"
            1402 reviews
    ","
Chinese,
                    Noodles
",$
Beauty & Essex,Lower East Side,4.0 star rating,"
            2903 reviews
    ","
American (New)
",$$$
LoveMama,East Village,4.0 star rating,"
            3325 reviews
    ","
Thai,
                    Malaysian,
                    Vietnamese
",$$
TongKatsu,Lower East Side,5.0 star rating,"
            134 reviews
    ","
Japanese,
                    Asian Fusion,
                    Comfort Food
",$$
Cookshop,Chelsea,4.0 star rating,"
            1851 reviews
    ","
American (New),
                    Breakfast & Brunch,
                    Wine Bars
",$$
Yaso Tangbao,Downtown Brooklyn,4.0 star rating,"
            599 reviews
    ","
Shanghainese
",$$
Park Avenue Tavern,Murray Hill,4.0 star rating,"
            631 reviews
    ","
American (Traditional),
                    Cocktail Bars
",$$
Concrete,Bedford Stuyvesant,4.5 star rating,"
            2 reviews
    ","
Bars,
                    Breakfast & Brunch,
                    Sicilian
",$$
Distilled,TriBeCa,4.0 star rating,"
            691 reviews
    ","
American (New),
                    Cocktail Bars,
                    Breakfast & Brunch
",$$
Fishmarket Restaurant,South Street Seaport,4.5 star rating,"
            442 reviews
    ","
Seafood,
                    Chinese,
                    Asian Fusion
",$$
Da Claudio,Financial District,4.5 star rating,"
            323 reviews
    ","
Italian,
                    Cocktail Bars
",$$
L’Artusi,West Village,4.5 star rating,"
            1514 reviews
    ","
Italian
",$$$
Aunt Jake’s,Little Italy,4.0 star rating,"
            816 reviews
    ","
Italian,
                    Wine Bars,
                    Pasta Shops
",$$
Balthazar Restaurant,SoHo,4.0 star rating,"
            2686 reviews
    ","
French,
                    Breakfast & Brunch
",$$$
Sugar Momma,Financial District,4.5 star rating,"
            30 reviews
    ","
American (New),
                    Cocktail Bars,
                    Tapas/Small Plates
",$$
Breakroom,Chinatown,4.5 star rating,"
            1395 reviews
    ","
Burgers,
                    Tacos
",$
The Malt House,Financial District,4.0 star rating,"
            357 reviews
    ","
Gastropubs,
                    Pubs,
                    Breakfast & Brunch
",$$
Blue Ribbon Brasserie - SoHo,South Village,4.5 star rating,"
            858 reviews
    ","
American (Traditional),
                    Cocktail Bars
",$$$
Rabbit House,Lower East Side,4.5 star rating,"
            151 reviews
    ","
Tapas Bars,
                    Asian Fusion
",$$
Locanda Verde,TriBeCa,4.0 star rating,"
            1456 reviews
    ","
Italian,
                    Delis,
                    Cocktail Bars
",$$$
OBAO,Midtown West,4.0 star rating,"
            1800 reviews
    ","
Vietnamese,
                    Thai,
                    Asian Fusion
",$$
Thursday Kitchen,East Village,4.5 star rating,"
            909 reviews
    ","
Korean,
                    American (New),
                    Tapas/Small Plates
",$$
Extra Virgin,West Village,4.0 star rating,"
            1141 reviews
    ","
Seafood,
                    Greek,
                    Italian
",$$
The Little Owl,West Village,4.0 star rating,"
            1189 reviews
    ","
Desserts,
                    Wine Bars,
                    Mediterranean
",$$$
PMF Pardon My French,Alphabet City,4.0 star rating,"
            721 reviews
    ","
French,
                    Cocktail Bars,
                    Breakfast & Brunch
",$$
Ippudo New York,East Village,4.0 star rating,"
            9399 reviews
    ","
Ramen
",$$
Trading Post,South Street Seaport,4.0 star rating,"
            322 reviews
    ","
American (Traditional),
                    Bars,
                    Seafood
",$$
Trattoria Trecolori,Theater District,4.0 star rating,"
            1801 reviews
    ","
Italian
",$$
Red Hook Lobster Pound,Red Hook,4.0 star rating,"
            880 reviews
    ","
Seafood
",$$
Scarpetta,Flatiron,4.0 star rating,"
            1665 reviews
    ","
Italian
",$$$
Juliana’s Pizza,DUMBO,4.5 star rating,"
            1720 reviews
    ","
Pizza
",$$
Calle Ocho,Upper West Side,4.0 star rating,"
            2334 reviews
    ","
Cuban,
                    Latin American
",$$
BlackTail,Battery Park,4.5 star rating,"
            198 reviews
    ","
Cuban,
                    Cocktail Bars
",$$$
Momofuku Nishi,Chelsea,4.0 star rating,"
            423 reviews
    ","
Italian,
                    American (New)
",$$
Jora Restaurant & Bar,Hunters Point,4.5 star rating,"
            415 reviews
    ","
Peruvian,
                    Cocktail Bars,
                    Tapas Bars
",$$
Nyonya,Little Italy,4.0 star rating,"
            1832 reviews
    ","
Asian Fusion,
                    Malaysian,
                    Chinese
",$$
Uva,Upper East Side,4.0 star rating,"
            2028 reviews
    ","
Italian,
                    Wine Bars
",$$
Traif,Williamsburg - South Side,4.5 star rating,"
            1754 reviews
    ","
American (New),
                    Tapas/Small Plates
",$$$
Jack’s Wife Freda,West Village,4.0 star rating,"
            657 reviews
    ","
Mediterranean,
                    Cocktail Bars,
                    Breakfast & Brunch
",$$
Antica Ristorante,Financial District,4.5 star rating,"
            392 reviews
    ","
Italian
",$$$
Seamore’s,DUMBO,4.0 star rating,"
            49 reviews
    ","
Seafood
",$$
Luke’s Lobster Brooklyn Bridge Park-DUMBO,DUMBO,4.0 star rating,"
            244 reviews
    ","
Seafood
",$$
Marc Forgione,TriBeCa,4.0 star rating,"
            840 reviews
    ","
American (New)
",$$$
Despaña,SoHo,4.5 star rating,"
            507 reviews
    ","
Spanish,
                    Basque,
                    Grocery
",$$
Tatsu Ramen,East Village,4.5 star rating,"
            18 reviews
    ","
Ramen
",$$
Cafe Habana,Nolita,4.0 star rating,"
            3019 reviews
    ","
Cuban,
                    Mexican
",$$
Eataly,Flatiron,4.0 star rating,"
            4978 reviews
    ","
Italian,
                    Grocery,
                    Cafes
",$$
Fan Fried Rice Bar,Bedford Stuyvesant,5.0 star rating,"
            17 reviews
    ","
Taiwanese
",$
Galli Restaurant,SoHo,4.0 star rating,"
            740 reviews
    ","
Italian,
                    Cocktail Bars,
                    Wine Bars
",$$
88 Lan Zhou Handmade Noodles,Chinatown,4.0 star rating,"
            1478 reviews
    ","
Chinese,
                    Noodles
",$
Casa Enrique,Hunters Point,4.0 star rating,"
            936 reviews
    ","
Mexican
",$$
Ipanema Restaurant,Midtown West,4.0 star rating,"
            1001 reviews
    ","
Brazilian,
                    Latin American,
                    Portuguese
",$$
Midwinter Kitchen,Gramercy,4.5 star rating,"
            385 reviews
    ","
American (New)
",$$
Cuba Restaurant and Rum Bar,Greenwich Village,4.0 star rating,"
            1387 reviews
    ","
Cuban
",$$
Les Enfants de Boheme,Lower East Side,4.5 star rating,"
            165 reviews
    ","
French,
                    Cafes,
                    Cocktail Bars
",$$
Verlaine,Lower East Side,4.0 star rating,"
            1317 reviews
    ","
Tapas/Small Plates,
                    Lounges,
                    Cocktail Bars
",$$
Los Tacos No.1,Meatpacking District,4.5 star rating,"
            2284 reviews
    ","
Tacos
",$
nonono,Midtown East,4.5 star rating,"
            78 reviews
    ","
Japanese
",$$
The Milling Room,Upper West Side,4.0 star rating,"
            339 reviews
    ","
American (New),
                    Wine Bars,
                    Cocktail Bars
",$$$
Boucherie - Park,Gramercy,4.5 star rating,"
            229 reviews
    ","
Steakhouses,
                    French,
                    Cocktail Bars
",$$$
Parker & Quinn,Midtown West,4.0 star rating,"
            1071 reviews
    ","
American (New),
                    Bars,
                    Breakfast & Brunch
",$$
Saigon Shack,Greenwich Village,4.0 star rating,"
            2097 reviews
    ","
Sandwiches,
                    Coffee & Tea,
                    Salad
",$
Foragers Table,Chelsea,4.0 star rating,"
            472 reviews
    ","
Breakfast & Brunch,
                    American (New),
                    Wine Bars
",$$
Up Thai,Upper East Side,4.5 star rating,"
            1725 reviews
    ","
Thai,
                    Asian Fusion
",$$
Flip Sigi,West Village,4.0 star rating,"
            546 reviews
    ","
Filipino,
                    Asian Fusion,
                    Mexican
",$$
Mariella,South Slope,4.5 star rating,"
            252 reviews
    ","
Italian,
                    Gluten-Free,
                    Salad
",$$
Tiny Shanghai,Little Italy,4.5 star rating,"
            68 reviews
    ","
Shanghainese
",$$
Cask Bar & Kitchen,Murray Hill,4.0 star rating,"
            1225 reviews
    ","
Bars,
                    American (New),
                    Breakfast & Brunch
",$$
Grand Banks,,4.0 star rating,"
            337 reviews
    ","
Bars,
                    Seafood,
                    American (New)
",$$$
Heidi’s House By The Side Of The Road,Upper East Side,4.5 star rating,"
            547 reviews
    ","
Wine Bars,
                    Comfort Food,
                    Gluten-Free
",$$
Pies-n-Thighs,Williamsburg - South Side,4.0 star rating,"
            2533 reviews
    ","
Southern,
                    Barbeque,
                    Breakfast & Brunch
",$$
Wok Wok,Chinatown,4.0 star rating,"
            557 reviews
    ","
Malaysian,
                    Thai
",$$
Shanghai Asian Manor,Chinatown,4.0 star rating,"
            1359 reviews
    ","
Shanghainese
",$$
Upland,Flatiron,4.0 star rating,"
            760 reviews
    ","
American (New),
                    Burgers
",$$$
Pepe Rosso Social,Little Italy,4.0 star rating,"
            684 reviews
    ","
Italian
",$$
Raku,South Village,5.0 star rating,"
            47 reviews
    ","
Japanese,
                    Noodles
",$$
ilili,Flatiron,4.0 star rating,"
            2110 reviews
    ","
Mediterranean,
                    Lebanese,
                    Cocktail Bars
",$$$
Friedman’s,Midtown West,4.0 star rating,"
            1808 reviews
    ","
American (New),
                    Gluten-Free,
                    Breakfast & Brunch
",$$
Zyara NY,Lower East Side,5.0 star rating,"
            38 reviews
    ","
Mediterranean,
                    Middle Eastern
",$
Noodle Pudding,Brooklyn Heights,4.0 star rating,"
            509 reviews
    ","
Italian
",$$
Bricolage,Park Slope,4.0 star rating,"
            361 reviews
    ","
Vietnamese,
                    Gastropubs,
                    Cocktail Bars
",$$
Havana Social - Hell’s Kitchen,Hell's Kitchen,4.0 star rating,"
            734 reviews
    ","
Cuban,
                    Cocktail Bars,
                    Tapas Bars
",$$
Trademark Taste + Grind,Midtown West,4.5 star rating,"
            446 reviews
    ","
Bars,
                    American (New),
                    Venues & Event Spaces
",$$
Crescent Grill,Long Island City,4.5 star rating,"
            263 reviews
    ","
American (New)
",$$
Supper,East Village,4.0 star rating,"
            1153 reviews
    ","
Italian
",$$
Tribeca’s Kitchen,TriBeCa,4.0 star rating,"
            320 reviews
    ","
American (New),
                    Breakfast & Brunch,
                    Diners
",$$
Bijan’s,Boerum Hill,4.0 star rating,"
            408 reviews
    ","
American (New),
                    Cocktail Bars
",$$
Voltaire,Cobble Hill,4.5 star rating,"
            19 reviews
    ","
Diners,
                    Bars,
                    Breakfast & Brunch
",
The Osprey,,3.5 star rating,"
            71 reviews
    ","
American (New)
",$$
Zeytin Mediterranean,Financial District,4.5 star rating,"
            40 reviews
    ","
Mediterranean,
                    Greek,
                    Turkish
",$$
Boqueria Spanish Tapas - Soho,South Village,4.0 star rating,"
            835 reviews
    ","
Spanish
",$$$
Ichabod’s,Union Square,4.0 star rating,"
            532 reviews
    ","
American (New),
                    Breakfast & Brunch
",$$
Chikarashi,,4.0 star rating,"
            445 reviews
    ","
Poke,
                    Asian Fusion,
                    American (New)
",$$
Macchina,Kips Bay,4.0 star rating,"
            10 reviews
    ","
Italian
",
Felice,Financial District,4.0 star rating,"
            270 reviews
    ","
Italian,
                    Wine Bars
",$$
